sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
50011058300,2025-08-02T06:04:00Z,75,,75,,75,65,0.07342657342657342
50002429380,2025-08-01T05:41:30Z,77,,77,,83,66,0.037037037037037035
49991857219,2025-07-31T04:32:00Z,74,,74,,80,66,0.06446991404011461
49981926651,2025-07-30T04:34:00Z,80,,80,,99,66,0.035961272475795295
49972637888,2025-07-29T04:37:30Z,71,,71,,106,66,0.08857509627727857
49964482139,2025-07-28T04:48:00Z,77,,77,,75,68,0.06164383561643835
49956016058,2025-07-27T07:07:30Z,82,,82,,88,68,0.03444564047362755
49946926319,2025-07-26T06:53:30Z,81,,81,,90,69,0.06945975744211687
49937651551,2025-07-25T04:33:30Z,76,,76,,55,70,0.05379310344827586
49928455691,2025-07-24T04:38:30Z,72,,72,,52,69,0.04017857142857143
49919472609,2025-07-23T04:42:00Z,79,,79,,68,70,0.0444743935309973
49910447203,2025-07-22T04:55:30Z,70,,70,,74,68,0.037786774628879895
49902578506,2025-07-21T04:35:00Z,78,,78,,96,67,0.033602150537634407
49892925695,2025-07-20T04:41:00Z,82,,82,,51,68,0.05575326215895611
49883358148,2025-07-19T05:48:00Z,78,,78,,97,68,0.06279069767441861
49875024770,2025-07-18T05:02:00Z,79,,79,,56,69,0.044709388971684055
49863660664,2025-07-17T05:07:00Z,82,,82,,80,72,0.055900621118012424
49856500664,2025-07-16T04:32:00Z,79,,79,,96,72,0.05504587155963303
49845929485,2025-07-15T04:38:30Z,79,,79,,71,71,0.048582995951417005
49837534287,2025-07-14T04:29:00Z,75,,75,,56,73,0.057057057057057055
49829066822,2025-07-13T05:48:00Z,76,,76,,84,71,0.046094750320102434
49820729020,2025-07-12T05:55:00Z,77,,77,,100,71,0.043942992874109264
49810706632,2025-07-11T04:41:00Z,80,,80,,101,70,0.04781420765027322
49801130593,2025-07-10T04:29:30Z,71,,71,,46,68,0.048239895697522815
49790604543,2025-07-09T03:42:30Z,78,,78,,64,69,0.047619047619047616
49780528698,2025-07-08T04:33:30Z,75,,75,,95,68,0.056833558863328824
49772198227,2025-07-07T04:28:30Z,77,,77,,89,68,0.046511627906976744
49761432695,2025-07-06T04:50:30Z,76,,76,,122,68,0.0728862973760933
49752815752,2025-07-05T05:12:00Z,85,,85,,86,70,0.041811846689895474
49744173716,2025-07-04T05:03:30Z,75,,75,,92,70,0.06119951040391677
49735134943,2025-07-03T04:29:00Z,79,,79,,97,71,0.0517464424320828
49725183140,2025-07-02T04:20:00Z,71,,71,,76,70,0.04022191400832178
49715950854,2025-07-01T04:29:00Z,76,,76,,80,68,0.04252400548696845
49706393772,2025-06-30T04:34:30Z,71,,71,,57,68,0.08333333333333333
49697736656,2025-06-29T05:06:30Z,72,,72,,87,66,0.05124653739612189
49687408224,2025-06-28T05:46:00Z,73,,73,,69,67,0.06745562130177515
49678332804,2025-06-27T04:26:00Z,75,,75,,96,67,0.07250341997264022
49667819622,2025-06-26T04:29:30Z,75,,75,,42,69,0.05113636363636364
49658113201,2025-06-25T04:32:00Z,65,,65,,47,68,0.0594059405940594
49647210158,2025-06-24T04:32:00Z,81,,81,,78,70,0.040522875816993466
49638454652,2025-06-23T04:29:00Z,64,,64,,71,68,0.08322981366459627
49628550276,2025-06-22T05:06:30Z,78,,78,,111,68,0.039190897597977246
49619661631,2025-06-21T05:08:00Z,77,,77,,75,68,0.03907380607814761
49611792288,2025-06-20T04:29:30Z,74,,74,,80,67,0.058530510585305104
49599737147,2025-06-19T04:28:30Z,75,,75,,90,67,0.03480589022757698
49589680966,2025-06-18T04:46:00Z,76,,76,,90,67,0.059332509270704575
49579051508,2025-06-17T04:31:00Z,82,,82,,103,69,0.07162534435261708
49570324852,2025-06-16T04:36:30Z,77,,77,,104,68,0.05170239596469105
49560824686,2025-06-15T04:45:00Z,87,,87,,108,70,0.0423728813559322
49552603332,2025-06-14T03:53:00Z,81,,81,,62,72,0.06212121212121212
49542193639,2025-06-13T04:29:30Z,79,,79,,101,72,0.045283018867924525
49532948643,2025-06-12T04:30:00Z,65,,65,,43,70,0.05150214592274678
49524715062,2025-06-11T04:44:00Z,74,,74,,51,68,0.06015037593984962
49512342513,2025-06-10T04:21:00Z,77,,77,,86,67,0.06995884773662552
49503069293,2025-06-09T04:36:00Z,79,,79,,79,68,0.046894803548795945
49495305251,2025-06-08T05:58:00Z,83,,83,,148,67,0.04776739356178609
49484133637,2025-06-07T05:05:30Z,73,,73,,98,65,0.07818411097099622
49476272680,2025-06-06T05:17:00Z,82,,82,,83,66,0.04342723004694836
49457110286,2025-06-04T04:25:30Z,83,,83,,62,68,0.03827751196172249
49448488759,2025-06-03T04:47:00Z,82,,82,,67,70,0.07077625570776255
49438041767,2025-06-02T04:44:30Z,76,,76,,120,70,0.07225806451612904
49428222582,2025-06-01T05:39:30Z,79,,79,,97,72,0.06498194945848375
49419409842,2025-05-31T05:27:30Z,75,,75,,79,71,0.0757396449704142
49408691783,2025-05-30T04:36:00Z,72,,72,,91,70,0.05075445816186557
49399992527,2025-05-29T04:21:30Z,78,,78,,73,70,0.04281767955801105
49390381181,2025-05-28T05:10:30Z,78,,78,,47,71,0.04353083434099154
49378476585,2025-05-27T04:13:30Z,73,,73,,58,70,0.039886039886039885
49369359353,2025-05-26T06:39:00Z,89,,89,,107,72,0.0725883476599809
49361090088,2025-05-25T03:58:30Z,78,,78,,82,74,0.05089408528198074
49351667306,2025-05-24T05:44:00Z,73,,73,,68,72,0.049367088607594936
49339837641,2025-05-23T04:29:30Z,73,,73,,85,71,0.0546583850931677
49329674003,2025-05-22T04:32:30Z,73,,73,,79,71,0.05304010349288486
49321472771,2025-05-21T04:36:00Z,77,,77,,99,72,0.058365758754863814
49311968390,2025-05-20T04:26:00Z,78,,78,,114,71,0.05144291091593475
49300991373,2025-05-19T04:22:30Z,74,,74,,71,70,0.04736129905277402
49292172026,2025-05-18T06:34:30Z,83,,83,,88,70,0.04083885209713024
49283755479,2025-05-17T06:27:30Z,80,,80,,93,69,0.06376195536663125
49272273786,2025-05-16T04:29:00Z,78,,78,,91,69,0.07785642062689585
49263455173,2025-05-15T04:33:00Z,79,,79,,68,70,0.060225846925972396
49242465653,2025-05-13T04:37:30Z,75,,75,,68,69,0.056461731493099125
49232463013,2025-05-12T04:29:30Z,78,,78,,87,69,0.049136786188579015
49223889840,2025-05-11T05:46:30Z,82,,82,,127,70,0.047180667433831994
49214555879,2025-05-10T06:24:00Z,79,,79,,73,71,0.07075471698113207
49203366789,2025-05-09T04:29:30Z,73,,73,,43,71,0.060927152317880796
49195653106,2025-05-08T05:35:30Z,76,,76,,83,70,0.048314606741573035
49185515418,2025-05-07T04:29:00Z,79,,79,,89,70,0.05631868131868132
49176613871,2025-05-06T04:28:30Z,78,,78,,131,70,0.0520694259012016
49167255731,2025-05-05T04:55:30Z,67,,67,,61,70,0.07586206896551724
49155853607,2025-05-04T05:22:30Z,75,,75,,86,68,0.06807511737089202
49148814107,2025-05-03T05:38:00Z,80,,80,,108,68,0.05523590333716916
49138742242,2025-05-02T04:28:30Z,71,,71,,89,66,0.06102117061021171
49128979170,2025-05-01T04:30:30Z,79,,79,,90,68,0.04139715394566624
49118249821,2025-04-30T04:38:30Z,80,,80,,126,69,0.05204460966542751
49110545803,2025-04-29T04:25:00Z,77,,77,,59,71,0.06693440428380187
49101004993,2025-04-28T04:01:30Z,79,,79,,77,71,0.05750350631136045
49088026671,2025-04-27T05:25:30Z,77,,77,,72,73,0.12585812356979406
49080681677,2025-04-26T05:24:30Z,79,,79,,59,73,0.05425400739827373
49072062215,2025-04-25T04:35:00Z,72,,72,,69,71,0.04428044280442804
49061457887,2025-04-24T04:33:30Z,70,,70,,56,70,0.06359945872801083
49049719588,2025-04-23T04:28:30Z,73,,73,,84,71,0.08241082410824108
49038986517,2025-04-22T04:29:30Z,74,,74,,82,71,0.08190709046454768
49030831636,2025-04-21T04:20:00Z,70,,70,,69,71,0.07213114754098361
49020829578,2025-04-20T04:40:00Z,74,,74,,56,72,0.06657223796033994
49010192535,2025-04-19T04:59:00Z,79,,79,,86,70,0.03851444291609354
48991337970,2025-04-17T04:30:00Z,68,,68,,50,70,0.076158940397351
48981681013,2025-04-16T04:10:30Z,70,,70,,103,72,0.10206896551724139
48972479990,2025-04-15T04:23:30Z,78,,78,,113,72,0.05952380952380952
48960819318,2025-04-14T04:29:00Z,67,,67,,20,70,0.046094750320102434
48953383582,2025-04-13T06:29:00Z,80,,80,,130,69,0.06030150753768844
48943416361,2025-04-12T04:58:00Z,73,,73,,83,68,0.06291834002677377
48933381640,2025-04-11T03:38:00Z,73,,73,,71,66,0.03901734104046243
48923582700,2025-04-10T04:19:30Z,72,,72,,36,66,0.08413793103448276
48912210707,2025-04-09T04:29:00Z,73,,73,,56,65,0.052496798975672214
48903503375,2025-04-08T04:28:30Z,78,,78,,107,65,0.052941176470588235
48891714535,2025-04-07T04:34:30Z,78,,78,,82,66,0.06227544910179641
48881213273,2025-04-06T04:35:30Z,80,,80,,101,68,0.05317769130998703
48872373249,2025-04-05T06:01:30Z,83,,83,,131,69,0.09371554575523705
48861868790,2025-04-04T04:22:00Z,72,,72,,85,68,0.0530565167243368
48851354833,2025-04-03T04:53:30Z,81,,81,,88,71,0.03773584905660377
48843165556,2025-04-02T04:40:00Z,74,,74,,88,69,0.049738219895287955
48830308541,2025-04-01T04:41:00Z,81,,81,,99,69,0.06982248520710059
48820611005,2025-03-31T04:29:30Z,75,,75,,96,68,0.040735873850197106
48810272558,2025-03-30T04:37:30Z,71,,71,,26,70,0.09665427509293681
48800096591,2025-03-29T04:41:30Z,77,,77,,82,72,0.06923076923076923
48791773520,2025-03-28T04:28:30Z,76,,76,,83,74,0.06685633001422475
48781617641,2025-03-27T04:28:30Z,67,,67,,74,71,0.06900878293601004
48768810908,2025-03-26T03:49:00Z,77,,77,,116,69,0.04411764705882353
48758624960,2025-03-25T04:30:00Z,73,,73,,50,69,0.09987966305655836
48749103739,2025-03-24T04:35:00Z,77,,77,,82,70,0.08395989974937343
48737891054,2025-03-23T04:34:30Z,82,,82,,74,73,0.04539877300613497
48729025308,2025-03-22T03:56:30Z,70,,70,,47,72,0.09090909090909091
48715911999,2025-03-21T04:45:30Z,75,,75,,108,70,0.08133971291866028
